AreaBurned,BurnTime,LinesBuilt,AvgWind,numBreaches,numResponses
191.48166450000002,58.5,24210,20.23967182526288,27,14
261.980721,111.0,35670,12.087002781895686,40,21
225.73041750000002,47.0,33510,23.227084453470315,37,21
236.8501425,88.0,32760,6.10001483925609,39,21
241.96521600000003,57.0,32040,7.318610892451678,36,21
231.95746350000002,107.0,25350,6.531188101251166,25,16
199.48786650000002,65.5,28680,3.4163743111857876,42,21
197.931105,77.0,27000,17.54645211813978,35,21
207.27167400000002,63.5,35640,23.02811596858283,39,21
202.6013895,65.0,31410,9.528037838255218,39,21
219.9481605,91.5,36330,13.867636160447297,42,21
AreaBurned,BurnTime,LinesBuilt,AvgWind,numBreaches,numResponses
220.39294950000001,66.0,33180,41.347172732232224,37,21
208.3836465,69.5,24120,27.692290985608288,32,16
239.96366550000002,82.5,31530,21.890408836655194,33,19
168.575031,55.5,19680,12.879823081381478,22,11
246.857895,60.0,24660,14.301043546355947,27,15
185.6994075,46.5,32040,52.014051495540095,41,21
245.968317,57.5,36390,14.18522597481839,40,21
207.716463,46.5,33120,20.443738188299985,41,21
247.96986750000002,85.0,31530,54.15547050712889,37,21
200.8222335,62.5,32550,27.886793752150847,41,21
196.3743435,39.5,31710,19.859687826768877,40,17
103.19104800000001,20.5,12510,71.7677527030647,29,6
233.2918305,78.5,26310,35.294277329731734,27,15
239.29648200000003,50.5,28740,25.093168282181235,36,21
212.3867475,74.5,33060,9.21452832067035,38,18
292.67116200000004,84.5,31950,15.455593509813669,35,21
187.4785635,45.0,26820,32.816860561720624,39,21
214.833087,63.0,35340,39.842534448620555,42,21
204.60294000000002,50.0,29160,22.869871296874564,37,21
219.0585825,46.5,31920,7.60783164970935,41,21
240.18606000000003,49.5,31980,11.152849329888667,37,21
218.1690045,41.5,24150,11.08336543121747,29,16
199.710261,45.5,28920,28.4381781776255,41,19
239.5188765,73.0,39660,19.034619439163187,41,21
220.170555,58.0,28740,5.372008042134641,32,18
AreaBurned,BurnTime,LinesBuilt,AvgWind,numBreaches,numResponses
112.3092225,17.0,10080,11.641389829800993,9,0
108.3061215,42.5,14520,99.77145425610209,18,3
205.2701235,60.0,28890,9.544294379373879,36,21
230.17830750000002,47.0,29550,7.534191208527916,29,15
233.514225,52.0,37680,15.720289360892357,42,21
225.508023,60.5,25680,7.758715319284056,33,19
233.514225,51.5,32280,13.121541927402186,41,21
228.62154600000002,63.5,34650,36.461440960694944,44,21
134.5486725,26.0,15420,58.64319640280506,18,4
245.30113350000002,60.0,39930,8.755770850202525,42,21
204.60294000000002,50.5,29040,24.460792821401405,35,19
193.03842600000002,56.0,35250,50.46658574400253,44,21
211.4971695,70.5,25230,6.5066371013677715,31,17
291.1144005,86.5,38520,48.08840145327713,31,21
204.60294000000002,67.5,30720,32.99174863242653,39,19
196.151949,54.5,27540,42.80000195454152,35,17
250.416207,78.5,31320,6.372832498341713,37,21
219.9481605,40.0,33960,48.20999784908493,43,21
199.26547200000002,55.5,24030,55.693558285842904,32,17
232.17985800000002,63.5,33480,6.141316658930849,43,21
260.86874850000004,63.0,34500,17.62155127544051,38,21
266.20621650000004,86.0,30450,22.757626580086175,32,21
238.851693,61.5,30360,11.549554851549317,36,21
170.798976,33.0,23010,7.4938555281927535,29,14
174.802077,43.5,28290,5.5319327718798315,31,16
